CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
3345,Fentanyl,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Major
3345,Fentanyl,5291,Imatinib,CYP3A4,P08684,inhibition,Major
5073,Risperidone,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
5073,Risperidone,5291,Imatinib,CYP3A4,P08684,inhibition,Moderate
4679,Pantoprazole,216239,Sorafenib,CYP1A2,P05177,induction,Unknown
4679,Pantoprazole,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
4679,Pantoprazole,216239,Sorafenib,CYP1A2,P05177,inhibition,Unknown
2375,Bicalutamide,3345,Fentanyl,CYP3A4,P08684,inhibition,Unknown
5426,Thalidomide,124087,Desloratadine,CYP1A2,P05177,inhibition,Unknown
2520,Verapamil,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2520,Verapamil,2907,Cyclophosphamide,CYP3A4,P08684,induction,Unknown
2520,Verapamil,2907,Cyclophosphamide,ABCB1 (P-gp),P08183,transporter_induction,Unknown
2520,Verapamil,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Unknown
2907,Cyclophosphamide,3690,Ifosfamide,CYP3A4,P08684,inhibition,Moderate
2907,Cyclophosphamide,3690,Ifosfamide,CYP3A4,P08684,induction,Moderate
4485,Nifedipine,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
4485,Nifedipine,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_induction,Moderate
4485,Nifedipine,123631,Gefitinib,CYP3A4,P08684,induction,Moderate
4485,Nifedipine,123631,Gefitinib,CYP2C9,P11712,inhibition,Moderate
5291,Imatinib,5394,Temozolomide,CYP3A4,P08684,inhibition,Moderate
5291,Imatinib,5394,Temozolomide,CYP3A4,P08684,induction,Moderate
2803,Clonidine,5291,Imatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2803,Clonidine,5291,Imatinib,CYP3A4,P08684,inhibition,Unknown
60953,Capecitabine,119607,Valdecoxib,CYP2C9,P11712,inhibition,Unknown
5090,Rofecoxib,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
5978,Vincristine,54454,Simvastatin,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
5978,Vincristine,54454,Simvastatin,CYP3A4,P08684,induction,Moderate
