enzyme,HPO,AE_name,observed,expected,log2FE,p,q
CYP2D6,HP:0005943,Respiratory arrest,344,260.8,0.4,1.713029665392924e-07,1.1034766094572752e-05
CYP2D6,HP:0009806,Nephrogenic diabetes insipidus,90,51.4,0.81,2.267344078212506e-07,1.4134330423050541e-05
CYP2D6,HP:0000019,Urinary hesitancy,163,109.2,0.58,3.3732374551349063e-07,2.0371191818900643e-05
CYP2D6,HP:0001337,Tremor,693,575.4,0.27,3.9966267771565453e-07,2.3404488626833407e-05
CYP2D6,HP:0000473,Torticollis,70,37.4,0.91,4.058062946568137e-07,2.3409572072366938e-05
CYP2D6,HP:0001300,Parkinsonism,129,83.0,0.64,6.640326837097297e-07,3.5531964351424876e-05
CYP2D6,HP:0100651,Type I diabetes mellitus,203,144.3,0.49,9.159714782400783e-07,4.597700991425848e-05
CYP2D6,HP:0002076,Migraine,500,405.8,0.3,1.4291694025326442e-06,6.736267976571547e-05
CYP2D6,HP:0000821,Hypothyroidism,446,358.4,0.32,1.9020229720270867e-06,8.751569984386536e-05
CYP2D6,HP:0005206,Pancreatic pseudocyst,78,45.7,0.77,3.619515815646339e-06,0.0001504239637362699
CYP2D6,HP:0000132,Menorrhagia,152,104.9,0.54,4.075346919022881e-06,0.0001658022720212993
CYP2D6,HP:0001818,Paronychia,77,45.2,0.77,4.239326653140837e-06,0.00016891750014834368
CYP2D6,HP:0009800,Maternal diabetes,46,22.7,1.02,4.644503220385219e-06,0.00018317351986519258
CYP2D6,HP:0030050,Cataplexy,687,583.3,0.24,7.261630331190723e-06,0.00027248739058303057
